"","RecordNo","DateEntered","Habitat","HostSpecies","HostOrder","HostFamily","Synonyms","Food","genYr","CommonName","ProvinceI","InsectStatus","ModificationDate","InCanada","ChangeSpeciesTo","CommonNameOther","Complete","AdditionalReferences"
"1903",1979,"5/4/2096","grassland","Pardalophora haldemani","Orthoptera","Acrididae","","grasses","information unavailable","","MB","Wildlife","11/7/2000","Y 22","Verified, UConn Orthoptera db.","","",""
"1904",1980,"5/4/2096","","Schistocerca nitens nitens","Orthoptera","Acrididae","Schistocerca vaga","","","","not in Canada","","1/21/2000","N 22","Verified, UConn Orthoptera db.","","",""
"1905",1981,"5/4/2096","grassland, pasture","Spharagemon bolli","Orthoptera","Acrididae","","Taraxacum, vetches","1","","QC, ON, MB","Wildlife","11/13/2000","Y 22","Verified, UConn Orthoptera db.","","y",""
"1906",1982,"5/4/2096","grassland","Spharagemon collare","Orthoptera","Acrididae","","polyphagus","1","","QC, ON, MB, SK, AB, BC","Wildlife","11/7/2000","Y 22","Verified, UConn Orthoptera db.","","y",""
"1907",1984,"5/5/2096","aquatic, bamboo stumps","Aedes desmotes","Diptera","Culicidae","","","","","not in Canada","","2/12/2099","n 18","","","","82"
"1908",1985,"5/5/1996","Larvae: aquatic, tree holes, bamboo butts","Aedes ingrami","Diptera","Culicidae","","blood feeder, human","","","not in Canada","Pest","3/24/2001","n 18","Verified, Pittaway 1991.","","","82"
"1909",1986,"5/5/2096","aquatic","Anopheles jeyporiensis","Diptera","Culicidae","","humans, goats",">1","","not in Canada","Pest","10/26/2000","n 18","Verified, Pittaway 1991.","","y","75, 82"
"1910",1987,"5/5/2096","aquatic, artificial containers","Aedes koreicus","Diptera","Culicidae","","humans, birds","","","not in Canada","Pest","11/13/2000","n 18","Verified, Pittaway 1991.","","","75, 82"
"1911",1988,"5/5/2096","aquatic","Aedes polynesiensis","Diptera","Culicidae","","humans","","","not in Canada","Pest","11/28/2000","n 18","Verified, Evenhuis 1989.  Verified Pittaway 1991.","","","75"
"1912",1989,"5/5/2096","aquatic, containers","Armigeres obturbans","Diptera","Culicidae","","humans","","","not in Canada","","6/7/2000","N 65","Verified, Evenhuis 1989. Verified, Pittaway 1991.","","","82, 85"
"1913",1990,"5/5/2096","aquatic","Armigeres subalbatus","Diptera","Culicidae","","","","","not in Canada","","6/7/2000","N 65","Verified, Evenhuis 1989. Verified, Pittaway 1991.","","",""
"1914",1991,"5/5/1996","","Trogoderma granarium","Coleoptera","Dermestidae","","","","khapra beetle","not in Canada","","3/15/2001","N 43","Verified, Bosik 1997.","","",""
"1915",1992,"5/9/2096","","Gastrophysa viridula","Coleoptera","Chrysomelidae","","","","","not in Canada","","2/12/2099","n 43","","","",""
"1916",1993,"5/9/1996","crop, grassland","Oulema lichenis","Coleoptera","Chrysomelidae","","cereals, wheat (Triticum), wild grasses (Poaceae).","=1, >1","","not in Canada","","4/5/2001","n 43","Verified HYPPZ sp db.","","",""
"1917",1994,"5/11/1996","Larvae: aquatic, containers, tree holes","Culex halifaxii","Diptera","Culicidae","","Larvae: predators of mosquitoes","","","not in Canada","Wildlife","5/22/2001","n 18","Verified, Evenhuis 1989. Verified, Pittaway 1991.","","","85"
"1918",1995,"5/11/2096","Aquatic","Libellula quadrimaculata","Odonata","Libellulidae","","","","","","Wildlife","2/12/2099","","","","",""
"1919",1996,"5/11/2096","","Diabolocatantops axillaris","Orthoptera","Acrididae","Catantops axillaris","","","","not in Canada","","1/20/2000","n 22","Verified, UConn Orthoptera db.","","",""
"1920",1997,"5/11/2096","","Oedaleus senegalensis","Orthoptera","Acrididae","","","","","not in Canada","","1/18/2000","n 22","Verified, UConn Orthoptera db.","","",""
"1921",1998,"5/11/2096","","Sphingonotus savignyi","Orthoptera","Acrididae","Pseudosphingonotus savignyi","","","","not in Canada","","1/23/2000","N 22","Verified, UConn Orthoptera db.","","",""
"1922",1999,"5/11/1996","Larvae: aquatic, tree holes (pawpaw)","Aedes unilineatus","Diptera","Culicidae","","","","","not in Canada","","5/22/2001","n 18","Verified, Pittaway 1991.","","","82"
"1923",2000,"5/11/2096","aquatic, crop, rice fields, streams","Anopheles annularis","Diptera","Culicidae","","humans, cattle",">1","","not in Canada","Pest","11/13/2000","n 18","Verified, Pittaway 1991.","","y","75, 82"
"1924",2001,"5/11/2096","aquatic","Anopheles atroparvus","Diptera","Culicidae","Anopheles labranchiae atroparvus, Anopheles maculipennis atroparvus","","","","not in Canada","","6/7/2000","n 18","Verified Pittaway 1991.","","",""
"1925",2002,"5/11/2096","aquatic","Anopheles balabacensis","Diptera","Culicidae","","humans, monkeys","","","not in Canada","Pest","6/7/2000","n 18","Verified Pittaway 1991.","","","75"
"1926",2003,"5/11/2096","aquatic, pasture","Anopheles culicifacies","Diptera","Culicidae","","humans, birds, domestic ungulates",">1","","not in Canada","Pest","6/7/2000","n 18","Verified Pittaway 1991.","","","75, 82"
"1927",2004,"5/11/2096","aquatic","Anopheles melas","Diptera","Culicidae","Anopheles gambiae melas","","","","not in Canada","","6/7/2000","n 18","Verified Pittaway 1991.","","",""
"1928",2005,"5/11/2096","aquatic, buildings","Anopheles pulcherrimus","Diptera","Culicidae","","humans",">1","","not in Canada","Pest","6/7/2000","n 18","Verified Pittaway 1991.","","y","75, 82"
"1929",2006,"5/11/2096","aquatic, pasture","Culex nigripalpus","Diptera","Culicidae","","humans, rodents, birds, dogs, domestic ungulates","","","not in Canada","Pest","6/16/2000","n 18","Verified, Pittaway 1991.","","","75"
"1930",2007,"5/11/1996","Animal shelter (stables), farmyard","Stomoxys calcitrans","Diptera","Muscidae","","Larvae:  dung, straw; Adults:  horses",">1","stable fly","NS,NB, QC, ON, MB, SK, AB, BC","Pest","5/22/2001","y 65","Verified, Evenhuis 1989. Verified, Pittaway 1991.  Verified, Bosik 1997.","","y","75"
"1931",2008,"5/11/2096","aquatic","Notonecta undulata","Heteroptera","Notonectidae","","","","","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC, NW","Wildlife","8/29/2000","Y 74","Verified, Pittaway 1991.","","",""
"1932",2009,"5/11/1996","meadow","Oncopeltus fasciatus","Heteroptera","Lygaeidae","","milkweed","","large milkweed bug","QC, ON","Wildlife","3/15/2001","Y 74","Verified, Pittaway 1991. Verified, Bosik 1997.","","",""
"1933",2010,"5/11/1996","","Corydalus cornutus","Neuroptera","Corydalidae","","","","dobsonfly","","Wildlife","3/8/2001","","Verified, Bosik 1997.","","",""
"1934",2012,"5/12/2096","","Acorypha glaucopsis","Orthoptera","Acrididae","","","","","not in Canada","","1/20/2000","N 22","Verified, UConn Orthoptera db.","","",""
"1935",2013,"5/12/2096","","Acrida bicolor","Orthoptera","Acrididae","","","","","not in Canada","","1/20/2000","N 22","Verified, UConn Orthoptera db.","","",""
"1936",2014,"5/12/2096","","Acrotylus incarnatus","Orthoptera","Acrididae","Acrotylus longipes incarnatus","","","","not in Canada","","1/20/2000","N 22","Verified, UConn Orthoptera db.","","",""
"1937",2015,"5/12/2096","","Aiolopus simulatrix","Orthoptera","Acrididae","","","","","not in Canada","","1/20/2000","N 22","Verified, UConn Orthoptera db.","","",""
"1938",2016,"5/12/2096","","Cataloipus cymbiferus","Orthoptera","Acrididae","","","","","not in Canada","","1/20/2000","N 22","Verified, UConn Orthoptera db.","","",""
"1939",2017,"5/12/2096","","Cataloipus fuscocoeruleipes","Orthoptera","Acrididae","","","","","not in Canada","","1/20/2000","N 22","Verified, UConn Orthoptera db.","","",""
"1940",2018,"5/12/2096","","Heteracris harterti","Orthoptera","Acrididae","","","","","not in Canada","","1/20/2000","N 22","Verified, UConn Orthoptera db.","","",""
"1941",2019,"5/12/2096","","Hieroglyphus daganensis","Orthoptera","Acrididae","","","","","not in Canada","","1/20/2000","N 22","Verified, UConn Orthoptera db.","","",""
"1942",2020,"5/12/2096","","Homoxyrrhepes punctipennis","Orthoptera","Acrididae","","","","","not in Canada","","1/20/2000","N 22","Verified, UConn Orthoptera db.","","",""
"1943",2021,"5/12/2096","","Kraussella amabile","Orthoptera","Acrididae","","","","","not in Canada","","1/20/2000","N 22","Verified, UConn Orthoptera db.","","",""
"1944",2022,"5/12/2096","","Kraussaria angulifera","Orthoptera","Acrididae","","","","","not in Canada","","1/20/2000","N 22","Verified, UConn Orthoptera db.","","",""
"1945",2023,"5/12/2096","","Oedaleus nigeriensis","Orthoptera","Acrididae","","","","","not in Canada","","1/18/2000","n 22","Verified, UConn Orthoptera db.","","",""
"1946",2024,"5/12/2096","","Pyrgomorpha cognata","Orthoptera","Pyrgomorphidae","","","","","not in Canada","","1/21/2000","N 22","Verified, UConn Orthoptera db.","","",""
"1947",2025,"5/12/2096","","Sphingonotus canariensis","Orthoptera","Acrididae","","","","","not in Canada","","1/21/2000","N 22","Verified, UConn Orthoptera db.","","",""
"1948",2026,"5/12/2096","","Aleuas lineatus","Orthoptera","Acrididae","","","","","not in Canada","","1/20/2000","N 22","Verified, UConn Orthoptera db.","","",""
"1949",2027,"5/12/2096","","Ronderosia bergi","Orthoptera","Acrididae","Dichroplus bergi","","","","not in Canada","","1/20/2000","n 22","Verified, UConn Orthoptera db.","","",""
"1950",2028,"5/12/2096","","Dichroplus conspersus","Orthoptera","Acrididae","","","","","not in Canada","","1/20/2000","n 22","Verified, UConn Orthoptera db.","","",""
"1951",2029,"5/12/2096","","Dichroplus maculipennis","Orthoptera","Acrididae","","","","","not in Canada","","1/20/2000","n 22","Verified, UConn Orthoptera db.","","",""
"1952",2030,"5/12/2096","","Dichroplus pratensis","Orthoptera","Acrididae","","","","","not in Canada","","1/20/2000","n 22","Verified, UConn Orthoptera db.","","",""
"1953",2031,"5/12/2096","","Baeacris pseudopunctulatus","Orthoptera","Acrididae","Dichroplus pseudopunctulatus","","","","not in Canada","","1/20/2000","n 22","Verified, UConn Orthoptera db.","","",""
"1954",2032,"5/12/2096","","Baeacris punctulatus","Orthoptera","Acrididae","Dichroplus punctulatus","","","","not in Canada","","1/20/2000","n 22","Verified, UConn Orthoptera db.","","",""
"1955",2033,"5/12/2096","","Laplatacris dispar","Orthoptera","Acrididae","","","","","not in Canada","","1/20/2000","N 22","Verified, UConn Orthoptera db.","","",""
"1956",2034,"5/12/2096","","Schistocerca cancellata","Orthoptera","Acrididae","","","","South American locust","not in Canada","","1/21/2000","N 22","Verified, UConn Orthoptera db.","y","",""
"1957",2035,"5/12/2096","","Scotussa lemniscata","Orthoptera","Acrididae","","","","","not in Canada","","1/21/2000","N 22","Verified, UConn Orthoptera db.","","",""
"1958",2036,"5/14/2096","grassland","Aeropedellus clavatus","Orthoptera","Acrididae","","grasses, sedge (Carex filifolia)","1","","MB, SK, AB, BC, YK, NW","Pest","11/7/2000","Y 22","Verified, UConn Orthoptera db.","","y",""
"1959",2037,"5/14/1996","forest (clearings), grassland, sandy or gravelly soils","Arphia conspersa","Orthoptera","Acrididae","","mixed feeder, preferring grasses and sedges such as Stipa, wheatgrass (Agropyron), and Carex","=1, >1","","ON, MB, SK, AB, BC, YK, NW","Wildlife","5/22/2001","Y 22","Verified, UConn Orthoptera db. ","","y",""
"1960",2038,"5/14/1996","grassland","Brachystola magna","Orthoptera","Romaleidae","","grasses","","lubber grasshopper","not in Canada","Wildlife","3/6/2001","N 22","Verified, UConn Orthoptera db. Verified, Bosik 1997.","","",""
"1961",2039,"5/14/2096","","Bradynotes obesa","Orthoptera","Acrididae","","","","","BC","Wildlife","1/20/2000","Y 22","Verified, UConn Orthoptera db.","","",""
"1962",2040,"5/14/2096","grassland","Stenobothrus brunnea","Orthoptera","Acrididae","Bruneria brunnea","grasses, sedges","1","","MB, SK, AB, BC","Wildlife","11/7/2000","Y 22","Verified, UConn Orthoptera db.","","y",""
"1963",2041,"5/14/2096","grassland","Cratypedes neglectus","Orthoptera","Acrididae","","grasses","1","","MB, SK, AB, BC","Wildlife","1/20/2000","y 22","Verified, UConn Orthoptera db.","","y",""
"1964",2042,"5/14/2096","grassland","Dissosteira spurcata","Orthoptera","Acrididae","","grasses","1","","BC","Wildlife","1/20/2000","y 22","Verified, UConn Orthoptera db.","","y",""
"1965",2043,"5/14/2096","grassland","Melanoplus alpinus","Orthoptera","Acrididae","","grasses","<1","","AB, BC","Wildlife","11/7/2000","Y 22","Verified, UConn Orthoptera db.","","y",""
"1966",2044,"5/14/2096","bog, pasture, swamp, tundra","Melanoplus borealis borealis","Orthoptera","Acrididae","","grasses, forbs","<1, =1","","NF, NS, PE, NB, QC, ON, MB, SK, AB, BC, YK, NW","Wildlife","11/13/2000","Y 22","Verified, UConn Orthoptera db.","","y",""
"1967",2045,"5/14/2096","rangeland","Melanoplus bowditchi canus","Orthoptera","Acrididae","","Artemisia cana, Artemisia filifolia, Artemisia frigida","1","","SK, AB","Wildlife","11/7/2000","Y 22","Verified, UConn Orthoptera db.","","y",""
"1968",2046,"5/14/1996","grassland, crop, rangeland, forest","Melanoplus bruneri","Orthoptera","Acrididae","","clover, alfalfa/lucerne (Medicago sativa), oats, grasses, Lupinus sericeus, Phleum pratense, milfoil (Achillea millefolium)","<1, =1","","QC, ON, MB, SK, AB, BC, YK, NW","Pest","2/22/2001","Y 22","Verified, UConn Orthoptera db.","","y",""
"1969",2047,"5/14/1996","grassland","Mermiria bivittata","Orthoptera","Acrididae","Mermiria maculipennis macclungi","grasses, Boutelous curtipendula, Calamovilfa longifolia, wheatgrass (Agropyron)","1","","SK, AB","Wildlife","2/22/2001","Y 22","Verified, UConn Orthoptera db.","","y",""
"1970",2048,"5/14/1996","rangeland","Metator nevadensis","Orthoptera","Acrididae","","grasses, wheatgrass (Agropyron)","1","","BC","Pest","2/22/2001","Y 22","Verified, UConn Orthoptera db.","","y",""
"1971",2049,"5/14/2096","Orchard, forest, grassland","Trimerotropis fontana","Orthoptera","Acrididae","","polyphagus","1","","BC","Wildlife","11/13/2000","Y 22","Verified, UConn Orthoptera db.","","y",""
"1972",2050,"5/14/2096","grassland","Trimerotropis gracilis","Orthoptera","Acrididae","Trimerotropis gracilis sordida, Trimerotropis sordida","grasses","","","SK, AB","Wildlife","11/7/2000","Y 22","Verified, UConn Orthoptera db.","","",""
"1973",2051,"5/14/2096","","Trimerotropis inconspicua","Orthoptera","Acrididae","","","","","not in Canada","","1/21/2000","N 22","Verified, UConn Orthoptera db.","","",""
"1974",2052,"5/14/2096","","Trimerotropis latifasciata","Orthoptera","Acrididae","Trimerotropis laticincta","","","","not in Canada","","1/22/2000","N 22","Verified, UConn Orthoptera db.","","",""
"1975",2053,"5/14/2096","grassland, pasture","Trimerotropis pallidipennis","Orthoptera","Acrididae","Trimerotropis pallidipennis pallidipennis","polyphagus","information unavailable","","BC","Wildlife","11/13/2000","Y 22","Verified, UConn Orthoptera db.","","y",""
"1976",2054,"5/14/2096","grassland","Xanthippus corallipes","Orthoptera","Acrididae","","grasses, forbes","<1","","MB, SK, AB, BC, YK, NW","Wildlife","11/7/2000","Y 22","Verified, UConn Orthoptera db.","","y",""
"1977",2055,"5/14/1996","grassland","Psoloessa delicatula","Orthoptera","Acrididae","","grasses, sedges, Stipa, wheatgrass (Agropyron), Festuca, Carex, Phlox hoodi","<1","","MB, SK, AB","Wildlife","2/22/2001","Y 22","Verified, UConn Orthoptera db.","","y",""
"1978",2056,"5/14/2096","","Cryptocatantops haemorrhoidalis","Orthoptera","Acrididae","Catantops haemorrhoidalis","","","","not in Canada","","1/20/2000","n 22","Verified, UConn Orthoptera db.","","",""
"1979",2058,"5/14/1996","forest, orchard","Malacosoma neustria","Lepidoptera","Lasiocampidae","","Malus, Pyrus, Prunus, Rubus, Rosa, Syringa, Cotoneaster, Crataegus, Salix, Corylus, Betula, Ulmus, Quercus, maple (Acer), alder (Alnus)","1","Lackey","not in Canada","Pest","2/22/2001","n 33, n 37","","","y","80, 77"
"1980",2059,"5/14/1996","Crop, orchard","Lacanobia pisi","Lepidoptera","Noctuidae","Mamestra pisi, Ceramica pisi","lucerne, beet (Beta), peas, apple (Malus), cabbages, onions, Trifolium, cereals, legumes, flax, strawberries, Pinus","1","broom moth","not in Canada","Pest","3/24/2001","N 33","","8","","77, 80"
"1981",2060,"5/14/1996","orchard","Cydia funebrana","Lepidoptera","Tortricidae","","plums (Prunus domestica), damsons, peaches, apricot (Prunus)",">1","plum fruit moth, red plum maggot, plum fruit maggot","not in Canada","Pest","4/5/2001","N 33, N 77","Verified HYPPZ sp db.","77","","77"
"1982",2061,"5/14/1996","orchard","Cydia pyrivora","Lepidoptera","Tortricidae","Carpocapsa pyrivora, Laspeyresia pyrivora","pear (Pyrus)","","pear tortrix","not in Canada","Pest","1/24/2001","N 33, N 77","","77","","77"
"1983",2062,"5/15/1996","crop, forest, orchard","Acronicta oblinita","Lepidoptera","Noctuidae","","corn/maize (Zea mays), cattail, Sagittaria, Polygonum, Epilobium angustifolium, buttonbush,, willow, alder (Alnus), Myrica gale, alder (Alnus), Viburnum cassinoides, Salix, fruit trees, Malus",">1","smeared dagger moth","NF,NB, NS, QC, ON, MB, SK, AB, BC","Pest","3/1/2001","Y 47","Verified, Bosik 1997.","","y","77, 76, 64"
"1984",2063,"5/15/1996","grassland","Caenurgina crassiuscula","Lepidoptera","Noctuidae","","Gramineae, Trifolium, Lupinus",">1","clover looper","NF, NS, NB, QC, ON, MB, SK, AB, BC,","Wildlife","3/6/2001","Y 33","Verified, Bosik 1997.","","y",""
"1985",2064,"5/15/1996","crop","Caenurgina erechtea","Lepidoptera","Noctuidae","","Gramineae, soyabeans, Vaccinium, Medicago sativa, clover",">1","forage looper","MB, SK, AB, BC","Pest","3/6/2001","Y 33","Verified, Bosik 1997.","","y","64, 86"
"1986",2065,"5/15/1996","crop, wetland","Simyra henrici","Lepidoptera","Noctuidae","Symira henrici","cattails, grasses, sedges, poplars, willows, corn/maize (Zea mays), wheat (Triticum), rye  (Secale cereale), Poaceae, Polygonum, Typha",">1","","NS, NB, QC, ON, MB, SK, AB ","Pest","1/30/2001","Y 33","","","y","77, 86"
"1987",2066,"5/15/1996","urban","Homadaula anisocentra","Lepidoptera","Galacticidae","","Gleditsia triacanthos, mimosa/silktree (Albizia julibrissin)",">1","mimosa webworm","not in Canada","Pest","3/15/2001","N 77, 64","Verified, Bosik 1997.","77","y","64, 77"
"1988",2067,"5/15/1996","forest","Datana integerrima","Lepidoptera","Notodontidae","","hickories, pecan, walnut,  water oak","","walnut caterpillar","QC, ON","","3/8/2001","Y 64","Verified, Bosik 1997.","","","64"
"1989",2068,"5/15/1996","crop","Feltia subterranea","Lepidoptera","Noctuidae","","groundnut, cabbages, sweet potatoes, lettuces, luceerne, wheat (Triticum), cotton, tomatoes, carrot (Daucus carota), tobacco ","","","not in Canada","Pest","3/24/2001","N 77","","","","77"
"1990",2069,"5/15/2096","aquatic","Anopheles occidentalis","Diptera","Culicidae","","unknown","","","not in Canada","Wildlife","6/7/2000","n 18","Verified Pittaway 1991.","","","84"
"1991",2070,"5/15/1996","crop","Sabulodes aegrotata","Lepidoptera","Geometridae","Sabulodes caberata","avocados, Eucalyptus, globe artichokes, olives","","omnivorous looper, avocado looper","not in Canada","Pest","3/15/2001","Y 33","Verified, Bosik 1997.","","","77"
"1992",2073,"5/19/2096","aquatic","Simulium hargreavesi","Diptera","Simuliidae","","larva: detritus, microbes","","","not in Canada","","8/29/2000","N 65","Verified, Pittaway 1991.","","",""
"1993",2074,"5/19/2096","","Tomocerus flavescens","Collembola","Tomoceridae","","","","","","","2/12/2099","","","","",""
"1994",2075,"5/20/2096","forest","Lepidocyrtus cyaneus","Collembola","Entomobryidae","","","","","","","11/13/2000","","","","",""
"1995",2076,"5/24/1996","","Ascogaster quadridentata","Hymenoptera","Braconidae","","Lepidoptera larvae, Desmia funeralis, Gelechia sp, Grapholitha molesta, Grapholitha prunivora, Laspeyresia nigricana, Laspeyresia pomonella, Paralobesia viteana, Spilonota ocellana","","","NS,NB, QC, ON, MB, SK, AB, BC","Beneficial","4/10/2001","Y 67","Verified, OSU Hymenoptera db.  ","","",""
"1996",2077,"5/26/1996","crop","Chilo zacconius","Lepidoptera","Crambidae","","rice, Echinochloa pyramidalis, corn/maize (Zea mays), Panicum maximum, Rottboellia exaltata","","","not in Canada","Pest","4/12/2001","N 77","","","","77"
"1997",2078,"5/26/2096","","Ptinus pusillus","Coleoptera","Ptinidae","","","","","not in Canada","","2/12/2099","N 43","","","",""
"1998",2079,"5/26/1996","stored product, human dwelling","Ptinus clavipes","Coleoptera","Ptinidae","Ptinus brunneus, Ptinum calyipes","stored products, books, feathers",">1","brown spider beetle","NS, QC, ON, BC","Pest","3/25/2001","Y 43","Verified, Bosik 1997.","","","66"
"1999",2080,"5/26/1996","","Maruca testulalis","Lepidoptera","Crambidae","Maruca vitrata","legumes, groundnut, pigeon peas, cowpeas, Ricinus, tobacco, rice, Lablab purpureus, Hibiscus","","bean pod borer","not in Canada","","3/24/2001","N 33","Verified, Bosik 1997.","","","77"
"2000",2081,"5/26/2096","","Pityogenes calcaratus","Coleoptera","Scolytidae","","","","","not in Canada","","2/12/2099","n 43","","","",""
"2001",2082,"5/26/1996","Forest (especially at forest edges)","Pityokteines curvidens","Coleoptera","Scolytidae","","silver fir (Abies alba), bark of many coniferous and deciduous trees",">1","","not in Canada","Pest","5/22/2001","n 43","","","",""
"2002",2083,"5/26/2096","","Ora texana","Lepidoptera","Helodidae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"2003",2084,"5/27/1996","aquatic","Hydropsyche siltalai","Trichoptera","Hydropsychidae","","","","","not in Canada","Wildlife","4/10/2001","--","Verified, TWC db.","","",""
"2004",2085,"5/27/1996","","Epilachna borealis","Coleoptera","Coccinellidae","","","","squash beetle","not in Canada","","3/9/2001","n 43","Verified, Bosik 1997.","","",""
"2005",2086,"5/27/2096","","Baetis vernus","Ephemeroptera","Baetidae","","","","","","Wildlife","2/12/2099","","","","",""
"2006",2087,"5/31/1996","forest (mixed coniferous forest / beech forest / mixed deciduous forest)","Phtiracarus piger","Acari","Phtiracaridae","","","","","","","5/22/2001","","",".","",""
"2007",2088,"5/31/1996","forest (mixed coniferous forest / beech forest / mixed deciduous forest)","Microtritia minima","Acari","Euphtiracaridae","","","","","","","5/22/2001","","",".","",""
"2008",2089,"5/31/1996","forest (mixed coniferous forest / beech forest / mixed deciduous forest)","Rhysotritia duplicata","Acari","Euphtiracaridae","","","","","","","5/22/2001","","",".","",""
"2009",2090,"5/31/1996","forest (mixed coniferous forest / beech forest / mixed deciduous forest)","Damaeus clavipes","Acari","Damaeidae","","","","","","","5/22/2001","","",".","",""
"2010",2091,"5/31/1996","forest (mixed coniferous forest / beech forest / mixed deciduous forest)","Carabodes femoralis","Acari","Carabodidae","","","","","","","5/22/2001","","",".","",""
"2011",2092,"5/31/1996","forest (mixed deciduous forest)","Cepheus dentatus","Acari","Cepheidae","","","","","","","5/22/2001","","",".","",""
"2012",2093,"5/31/1996","forest (mixed deciduous forest)","Platynothrus peltifer","Acari","Camisiidae","","","","","","","5/22/2001","","",".","",""
"2013",2094,"5/31/1996","forest (mixed deciduous forest)","Carabodes coriaceus","Acari","Carabodidae","","","","","","","5/22/2001","","",".","",""
"2014",2095,"5/31/1996","forest (mixed deciduous forest)","Steganacarus striculus","Acari","Phtiracaridae","","","","","","","5/22/2001","","",".","",""
"2015",2096,"5/31/1996","forest (mixed deciduous forest / beech forest)","Damaeus onustus","Acari","Damaeidae","","","","","","","5/22/2001","","",".","",""
"2016",2097,"5/31/1996","forest (mixed deciduous forest / beech forest)","Phtiracarus globosus","Acari","Phtiracaridae","","","","","","","5/22/2001","","",".","",""
"2017",2098,"5/31/2096","aquatic","Ptychoptera paludosa","Diptera","Ptychopteridae","","","","","not in Canada","Wildlife","2/12/2099","N 65","","","",""
"2018",2099,"5/31/1996","aquatic","Cyrnus trimaculatus","Trichoptera","Polycentropidae","","","","","not in Canada","Wildlife","4/10/2001","n 55","Verified, TWC db.","","",""
"2019",2100,"5/31/1996","crop","Henosepilachna elaterii","Coleoptera","Coccinellidae","","cucurbits","","","not in Canada","","5/22/2001","N 43","","","",""
"2020",2101,"5/31/2096","aquatic","Ilybius fenestratus","Coleoptera","Dytiscidae","","predators of invertebrates","","","not in Canada","Wildlife","2/12/2099","N 43","","","",""
"2021",2102,"5/31/2096","","Coenagrion pulchellum","Odonata","Coenagrionidae","","","","","","Wildlife","2/12/2099","","","","",""
"2022",2103,"6/11/2096","Forest","Sabulodes transversata","Lepidoptera","Geometridae","","","","","not in Canada","","2/12/2099","N 33","","","",""
"2023",2104,"6/12/1996","aquatic, forest, buildings","Psorophora ciliata","Diptera","Culicidae","","Adults: humans, domestic ungulates, Larvae: Aedes vexans larvae","=1, >1","","QC, ON","Pest","2/22/2001","y 18","Verified, Pittaway 1991.","","y","82"
"2024",2105,"6/12/1996","forest","Apanteles fumiferanae","Hymenoptera","Braconidae","","Lepidoptera larvae, Acleris variana, Choristoneura fumiferana, Choristoneura lamberiana, Choristoneura occidentalis, Choristoneura pinus, Choristoneura viridis, Dioryctria abietella, Dioryctria reniculella, Epinotia nanana, Taniva albolineana, Thymelicus lineola, Zeiraphera canadensis, Zeiraphera fortunana, Zelleria haimbachi","","","recorded in Canada, but the province was not specified southern Canada ref 67","Beneficial","4/10/2001","y 67","Verified, OSU Hymenoptera db.","","","67"
"2025",2106,"6/12/1996","forest","Glypta fumiferanae","Hymenoptera","Ichneumonidae","","Sciaphila duples, Dioryctria reniculella, Acleris variana, Choristoneura fumiferana, C. lambertiana, C. occidentalis, C. pinus, C. retiniana, Orgyia pseudotsugata, Melanolophia imitata","","","NB, QC, ON, MB, SK, AB, BC","Beneficial","4/10/2001","Y 67","Verified, OSU Hymenoptera db.","","",""
"2026",2107,"6/12/2096","","Gryllus assimilis","Orthoptera","Gryllidae","Acheta assimilis","","","","not in Canada","","1/22/2000","N 22","Verified, UConn Orthoptera db (with subspecies)","","",""
"2027",2108,"6/12/1996","","Chilocorus stigma","Coleoptera","Coccinellidae","","predator","","twicestabbed lady beetle","NS, NB, QC, ON, MB, SK, AB ","","6/13/2001","y 43","Verified, Bosik 1997.","","",""
"2028",2109,"6/12/2096","forest, crop, orchard","Aplomya caesar","Diptera","Tachinidae","","Lepidopteran larvae and pupae","","","NB, QC, ON, MB, SK, AB, BC,","Beneficial","11/7/2000","Y 65","    ","","","78"
"2029",2110,"6/12/1996","crop","Eriborus terebrans","Hymenoptera","Ichneumonidae","","Ostrinia nubilalis","","","ON","Beneficial","4/10/2001","Y 67","Verified, OSU Hymenoptera db.","","",""
"2030",2111,"6/12/1996","crop","Depressaria pastinacella","Lepidoptera","Oecophoridae","","parsnip (Pastinaca sativa), carrot (Daucus carota), celery  (Apium graveolens), Heracleum lanatum, Heracleum sphondylinum","","parsnip webworm","BC","Pest","3/8/2001","Y 77","Verified, Bosik 1997.","","","77"
"2031",2112,"6/12/1996","crop","Manduca quinquemaculata","Lepidoptera","Sphingidae","","tomatoes, tobacco, potatoes, other Solanaceae","=1, >1","tomato hornworm, five-spotted hawk moth","NS, ON","Pest","3/15/2001","Y 33","Verified, Bosik 1997.","77","y","77"
"2032",2113,"6/12/1996","forest","Neurotoma fasciata","Hymenoptera","Pamphiliidae","","Prunus serotina, P. pennsylvanica, Lyda fasciata","","","QC, ON","","4/10/2001","y 67","Verified, OSU Hymenoptera db.","","",""
"2033",2114,"6/12/1996","","Acalymma vittatum ","Coleoptera","Chrysomelidae","Acalymma vittata","","","striped cucumber beetle","NS, NB, QC, ON, MB","Pest","3/1/2001","--","Verified, Bosik 1997.","","",""
"2034",2115,"6/12/2096","crop","Bonnetia comta","Diptera","Tachinidae","","Coleopteran and Lepidopteran larvae and pupae","","","QC, ON, MB, SK, AB, BC","Beneficial","11/7/2000","Y 65","","","","78"
