PathogenSpecies,Group,HighTaxon,LowTaxon,
Nosema culicis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema cuneatum,Protozoa,Microspora,Microsporea (Microsporida),
Nosema curvidentis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema cynaea,Protozoa,Microspora,Microsporea (Microsporida),
Nosema dendroctoni,Protozoa,Microspora,Microsporea (Microsporida),
Nosema destructor,Protozoa,Microspora,Microsporea (Microsporida),
Nosema disstriae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema empoascae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema ephialtis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema epilachnae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema erippi,Protozoa,Microspora,Microsporea (Microsporida),
Nosema eubules,Protozoa,Microspora,Microsporea (Microsporida),
Nosema fumiferanae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema furnacalis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema gasti,Protozoa,Microspora,Microsporea (Microsporida),
Nosema gibbsi,Protozoa,Microspora,Microsporea (Microsporida),
Nosema halesidotidis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema heliothidis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema hippodamiae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema hydraeciae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema hydriae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema hyperae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema infesta,Protozoa,Microspora,Microsporea (Microsporida),
Nosema invadens,Protozoa,Microspora,Microsporea (Microsporida),
Nosema junonis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema kingii,Protozoa,Microspora,Microsporea (Microsporida),
Nosema kovacevici,Protozoa,Microspora,Microsporea (Microsporida),
Nosema laphygmae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema leptinotarsae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema leptocoridis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema lepturae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema lophocampae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema lotmarae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema lutzi,Protozoa,Microspora,Microsporea (Microsporida),
Nosema lymantriae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema lysimniae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema melolonthae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema murinanae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema muscularis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema nebulellum,Protozoa,Microspora,Microsporea (Microsporida),
Nosema nepae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema nonagriae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema operophterae  ,Protozoa,Microspora,Microsporea (Microsporida),
Nosema oryzaephili,Protozoa,Microspora,Microsporea (Microsporida),
Nosema pediculusvestimenti,Protozoa,Microspora,Microsporea (Microsporida),
Nosema perezioides,Protozoa,Microspora,Microsporea (Microsporida),
Nosema phalerae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema phryganidiae ,Protozoa,Microspora,Microsporea (Microsporida),
Nosema phyllotretae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema pilicornis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema polygrammae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema polyvora,Protozoa,Microspora,Microsporea (Microsporida),
Nosema pulicis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema pyrausta,Protozoa,Microspora,Microsporea (Microsporida),
Nosema scolyti,Protozoa,Microspora,Microsporea (Microsporida),
Nosema scripta,Protozoa,Microspora,Microsporea (Microsporida),
Nosema serbica,Protozoa,Microspora,Microsporea (Microsporida),
Nosema sesiae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema sphaeromiadis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema sphingidis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema stegomyiae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema strictum,Protozoa,Microspora,Microsporea (Microsporida),
Nosema takapauensis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema tatrica,Protozoa,Microspora,Microsporea (Microsporida),
Nosema thomsoni ,Protozoa,Microspora,Microsporea (Microsporida),
Nosema tortricis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema trichoplusiae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema typographi,Protozoa,Microspora,Microsporea (Microsporida),
Nosema vanillae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema varivestis,Protozoa,Microspora,Microsporea (Microsporida),
Nosema veliae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema weiseri,Protozoa,Microspora,Microsporea (Microsporida),
Nosema whitei,Protozoa,Microspora,Microsporea (Microsporida),
Nosema zavreli,Protozoa,Microspora,Microsporea (Microsporida),
Nosema zwoelferi,Protozoa,Microspora,Microsporea (Microsporida),
Ovavesicula popilliae,Protozoa,Microspora,Microsporea (Microsporida),
Endoreticulatus fidelis,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora blattae,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora caecorum,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora californica,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora carpocapsae,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora centroptili,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora collessi,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora culicis,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora dixipi,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora enterobia,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora geotrupina,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora jiroveci,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora kudoi,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora leasei,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora legeri,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora lutzi,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora milesi,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora mochlonicis,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora multispora,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora neustriae,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora operophterae,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora ovalis,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora plectopterae,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora reciprocaria,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora schubergi aporiae,Protozoa,Microspora,Microsporea (Microsporida),"Update name to Endoreticulatus schubergi as renamed by Cali, A.; and El-Garhy, M.  1991 (EDWIP ref # 1881)?"
Pleistophora schubergi balbianii,Protozoa,Microspora,Microsporea (Microsporida),"Update name to Endoreticulatus schubergi as renamed by Cali, A.; and El-Garhy, M.  1991 (EDWIP ref # 1881)?"
Pleistophora schubergi fumiferanae,Protozoa,Microspora,Microsporea (Microsporida),"Update name to Endoreticulatus schubergi as renamed by Cali, A.; and El-Garhy, M.  1991 (EDWIP ref # 1881)?"
Pleistophora schubergi hyphantriae,Protozoa,Microspora,Microsporea (Microsporida),"Update name to Endoreticulatus schubergi as renamed by Cali, A.; and El-Garhy, M.  1991 (EDWIP ref # 1881)?"
Pleistophora schubergi noctuidae,Protozoa,Microspora,Microsporea (Microsporida),"Update name to Endoreticulatus schubergi as renamed by Cali, A.; and El-Garhy, M.  1991 (EDWIP ref # 1881)?"
Pleistophora schubergi pandemis,Protozoa,Microspora,Microsporea (Microsporida),"Update name to Endoreticulatus schubergi as renamed by Cali, A.; and El-Garhy, M.  1991 (EDWIP ref # 1881)?"
Pleistophora schubergi schubergi,Protozoa,Microspora,Microsporea (Microsporida),"Update name to Endoreticulatus schubergi as renamed by Cali, A.; and El-Garhy, M.  1991 (EDWIP ref # 1881)?"
Pleistophora simulii,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora sp.,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora tanzaniae,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora thienemanni,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora tillingbournei,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora vayssierei,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora waltairensis,Protozoa,Microspora,Microsporea (Microsporida),
Vavraia culicis,Protozoa,Microspora,Microsporea (Microsporida),
Vavraia oncoperae,Protozoa,Microspora,Microsporea (Microsporida),
Tuzetia entericola,Protozoa,Microspora,Microsporea (Microsporida),
Tuzetia lipotropha,Protozoa,Microspora,Microsporea (Microsporida),
Oligosporidium arachnicolum ,Protozoa,Microspora,Microsporea (Microsporida),
Orthosomella operophterae ,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora benigna,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora bicortex,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora bolinasae,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora bracteata,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora californica,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora callosa,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora campbelli,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora canadensis,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora connecticus,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora gigantea,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora inimica,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora keenani,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora khaliulini,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora lairdi,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora minuta,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora noxia,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora opacita,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora sp.,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora unica,Protozoa,Microspora,Microsporea (Microsporida),
Parathelohania legeri,Protozoa,Microspora,Microsporea (Microsporida),
Tricornia muhezae ,Protozoa,Microspora,Microsporea (Microsporida),
Burenella dimorpha,Protozoa,Microspora,Microsporea (Microsporida),
Evlachovaia chironomi ,Protozoa,Microspora,Microsporea (Microsporida),
Pilosporella chapmani,Protozoa,Microspora,Microsporea (Microsporida),
Pilosporella fishii,Protozoa,Microspora,Microsporea (Microsporida),
Vairimorpha bulgaria,Protozoa,Microspora,Microsporea (Microsporida),
Vairimorpha heterosporum,Protozoa,Microspora,Microsporea (Microsporida),
Vairimorpha lymantriae,Protozoa,Microspora,Microsporea (Microsporida),
Vairimorpha necatrix,Protozoa,Microspora,Microsporea (Microsporida),
Vairimorpha plodiae,Protozoa,Microspora,Microsporea (Microsporida),
Vairimorpha  sp.,Protozoa,Microspora,Microsporea (Microsporida),
Cylindrospora chironomi ,Protozoa,Microspora,Microsporea (Microsporida),
Duboscqia legeri,Protozoa,Microspora,Microsporea (Microsporida),
Mitoplistophora angularis,Protozoa,Microspora,Microsporea (Microsporida),
Pegmatheca simulii,Protozoa,Microspora,Microsporea (Microsporida),
Polydispyrenia simulii ,Protozoa,Microspora,Microsporea (Microsporida),
Trichoduboscqia epeori,Protozoa,Microspora,Microsporea (Microsporida),
Duboscqia chironomi ,Protozoa,Microspora,Microsporea (Microsporida),
Duboscqia coptotermi,Protozoa,Microspora,Microsporea (Microsporida),
Janacekia debaisieuxi ,Protozoa,Microspora,Microsporea (Microsporida),
Helmichia aggregata ,Protozoa,Microspora,Microsporea (Microsporida),
Striatospora chironomi ,Protozoa,Microspora,Microsporea (Microsporida),
Bohuslavia asterias,Protozoa,Microspora,Microsporea (Microsporida),
Chapmanium cirritus,Protozoa,Microspora,Microsporea (Microsporida),
Chapmanium nepae,Protozoa,Microspora,Microsporea (Microsporida),
Cryptosporina brachyfila,Protozoa,Microspora,Microsporea (Microsporida),
Hyalinocysta chapmani,Protozoa,Microspora,Microsporea (Microsporida),Verify genus.  This genus was downgraded by Kilochitsky (ref 1855) to subgenus of Amblyospora.  
Hyalinocysta sp.,Protozoa,Microspora,Microsporea (Microsporida),Verify genus.  This genus was downgraded by Kilochitsky (ref 1855) to subgenus of Amblyospora.  
Napamichum dispersus ,Protozoa,Microspora,Microsporea (Microsporida),
Neoperezia chironomi ,Protozoa,Microspora,Microsporea (Microsporida),
Nudispora biformis  ,Protozoa,Microspora,Microsporea (Microsporida),
Parathelohania africana,Protozoa,Microspora,Microsporea (Microsporida),
Parathelohania anomala,Protozoa,Microspora,Microsporea (Microsporida),
Parathelohania barra,Protozoa,Microspora,Microsporea (Microsporida),
Parathelohania illinoisensis,Protozoa,Microspora,Microsporea (Microsporida),
Parathelohania indica,Protozoa,Microspora,Microsporea (Microsporida),
Parathelohania obesa,Protozoa,Microspora,Microsporea (Microsporida),
Parathelohania obscura,Protozoa,Microspora,Microsporea (Microsporida),
Parathelohania periculosa,Protozoa,Microspora,Microsporea (Microsporida),
Parathelohania sp.,Protozoa,Microspora,Microsporea (Microsporida),
Resiomeria odonatae ,Protozoa,Microspora,Microsporea (Microsporida),
Spherospora andinae ,Protozoa,Microspora,Microsporea (Microsporida),"Verify class.   Spelling?  Genus not in Corliss, not in Tanada & Kaya.  There is a Sphaerospora in Corliss (in Phylum Myxozoa, Class Myxosporea)"
Spiroglugea octospora ,Protozoa,Microspora,Microsporea (Microsporida),
Systenostrema tabani,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania argyresthiae,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania asterias,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania avacuolata,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania baetica,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania bertrami,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania breindli,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania canningae,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania cepedei,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania cheimatobiae,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania columbaczense,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania dasychirae,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania disparis,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania fibrata,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania grassii,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania hessei,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania janus,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania minispora,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania ovata,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania pinguis,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania plectrocnemiae,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania rhithrogenae,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania similis,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania simulii,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania sp.,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania tipulae,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania vanessae,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania varians,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania weiseri,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania wurmi,Protozoa,Microspora,Microsporea (Microsporida),
Toxoglugea bacilliformis,Protozoa,Microspora,Microsporea (Microsporida),
Toxoglugea calliphorae,Protozoa,Microspora,Microsporea (Microsporida),
Toxoglugea chironomi,Protozoa,Microspora,Microsporea (Microsporida),
Toxoglugea chloroperlae,Protozoa,Microspora,Microsporea (Microsporida),
Toxoglugea fanthami,Protozoa,Microspora,Microsporea (Microsporida),
Toxoglugea gerridis,Protozoa,Microspora,Microsporea (Microsporida),
Toxoglugea mercieri,Protozoa,Microspora,Microsporea (Microsporida),
Toxoglugea octospora,Protozoa,Microspora,Microsporea (Microsporida),
Toxoglugea porterae,Protozoa,Microspora,Microsporea (Microsporida),
Toxoglugea tetraspora,Protozoa,Microspora,Microsporea (Microsporida),
Toxoglugea vibrio,Protozoa,Microspora,Microsporea (Microsporida),
Farinocystis  sp.,Protozoa,Apicomplexa,Gregarinidea (Neogregarinida),
Helicosporidium  sp.,Fungi,,,"Tanada & Kaya (p. 414) refer to these as ‘helicosporidia’ and says they have been considered both protozoa and fungi.  Corliss (1994) p. 20, puts the genus in the fungi."
Adelina melolonthae,Protozoa,Apicomplexa,Coccidea (Adeleida),
Adelina sericesthis,Protozoa,Apicomplexa,Coccidea (Adeleida),
Adelina tenebrionis,Protozoa,Apicomplexa,Coccidea (Adeleida),
Klossia aphodii,Protozoa,Apicomplexa,Coccidea (Eucoccidiorida),
Actinocephalus sp.,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Didymophes paradoxa,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Didymophes sisyphi,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Euspora fallax,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Euspora zealandica ,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pseudomonocystis hopliae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),Spelling?  Possibly Pseudomonicystis?   
Stictospora costelytrae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stictospora kurdistana,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Stictospora provincialis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Monocystis  sp.,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ascogregarina culicis,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina katherina,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Ophryocystis oryctesi,Protozoa,Apicomplexa,Gregarinidea (Neogregarinida),
Mattesia dispora,Protozoa,Apicomplexa,Gregarinidea (Neogregarinida),
Mattesia grandis,Protozoa,Apicomplexa,Gregarinidea (Neogregarinida),
Mattesia sp.,Protozoa,Apicomplexa,Gregarinidea (Neogregarinida),
Mattesia trogodermae,Protozoa,Apicomplexa,Gregarinidea (Neogregarinida),
Rasajeyna nannyla,Protozoa,Apicomplexa,Coccidea (Eucoccidiorida),
Adelina  sp.,Protozoa,Apicomplexa,Coccidea (Adeleida),
Adelina tribolii,Protozoa,Apicomplexa,Coccidea (Adeleida),
Cometoides pechumani,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Pyxinia  sp.,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Gregarina garnhami,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Malameba locustae,Protozoa,Rhizopoda,Lobosea (Amoebida),"Genus not in Corliss, 1994.  Placement from Tanada & Kaya."
Leptomonas sp.,Protozoa,Euglenozoa,Kinetoplastidea (Trypanosomatida),
Leptomonas pyraustae,Protozoa,Euglenozoa,Kinetoplastidea (Trypanosomatida),
Blastocrithidia caliroae,Protozoa,Euglenozoa,Kinetoplastidea (Trypanosomatida),
Herpetomonas chatoni,Protozoa,Euglenozoa,Kinetoplastidea (Trypanosomatida),
Herpetomonas swainei,Protozoa,Euglenozoa,Kinetoplastidea (Trypanosomatida),
Beauveria bassiana,Fungi,Deuteromycetes,unknown,
Thelohania californica,Protozoa,Microspora,Microsporea (Microsporida),
Nosema lunatum,Protozoa,Microspora,Microsporea (Microsporida),
Nosema chapmani,Protozoa,Microspora,Microsporea (Microsporida),
Entomophthora coronata,Fungi,Zygomycetes,Entomophthorales,
Thelohania inimica,Protozoa,Microspora,Microsporea (Microsporida),
Nosema tracheophilum,Protozoa,Microspora,Microsporea (Microsporida),
Gurleya sokolovi,Protozoa,Microspora,Microsporea (Microsporida),
Aspergillus fumigatus,Fungi,Deuteromycetes,unknown,
Entomophthora exitialis,Fungi,Zygomycetes,Entomophthorales,
Entomophthora fresenii,Fungi,Zygomycetes,Entomophthorales,
Entomophthora virulenta,Fungi,Zygomycetes,Entomophthorales,
Entomophthora grylli,Fungi,Zygomycetes,Entomophthorales,Are Entomophaga and Entomophthora grylli synonyms?  
Entomophthora aphidis,Fungi,Zygomycetes,Entomophthorales,
Entomophthora thaxteriana,Fungi,Zygomycetes,Entomophthorales,
Entomophthora planchoniana,Fungi,Zygomycetes,Entomophthorales,
Pleistophora chapmani,Protozoa,Microspora,Microsporea (Microsporida),
Rickettsiella chironomi,Bacteria,Rickettsiales,Chlamydiaceae,
Herpetomonas muscarum,Protozoa,Euglenozoa,Kinetoplastidea (Trypanosomatida),
Coelomomyces psorophorae,Fungi,Chytridiomycetes,Blastocladiales,
Entomophthora aquatica,Fungi,Zygomycetes,Entomophthorales,
Coelomomyces opifexi,Fungi,Chytridiomycetes,Blastocladiales,"Probably should now be C. psorophorae var. tasmiensis, according to Couch and Bland, ref 2039; however, they listed several associations for C. opifexi in their table IV?"
Ophryocystis dendroctoni,Protozoa,Apicomplexa,Gregarinidea (Neogregarinida),
Chytridiopsis typographi,Protozoa,Microspora,Microsporea (Minisporida),
Lankesteria mackiei,Protozoa,Apicomplexa,Gregarinidea (Neogregarinida),
Gregarina hylobii,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Babesia bigemina,Protozoa,Apicomplexa,Haematozoea (Piroplasmida),
Hirsutella tydeicola,Fungi,Deuteromycetes,Unknown,
Malameba scolyti,Protozoa,Rhizopoda,Lobosea (Amoebida),"Genus not in Corliss, 1994.  Placement from Tanada & Kaya."
Octosporea collembolae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema apicalis,Protozoa,Microspora,Microsporea (Microsporida),
Entomophthora tabanivora,Fungi,Zygomycetes,Entomophthorales,
Lagenidium sp. ,Fungi,Oomycetes,Lagenidiales,
Microsporidium fimbriatum,Protozoa,Microspora,Microsporea (Microsporida),
Leidyana phryganidiae,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Babesia caballi,Protozoa,Apicomplexa,Haematozoea (Piroplasmida),
Hyalinocysta expilatoria,Protozoa,Microspora,Microsporea (Microsporida),Verify genus.  This genus was downgraded by Kilochitsky (ref 1855) to subgenus of Amblyospora.  
Amblyospora dyxenoides,Protozoa,Microspora,Microsporea (Microsporida),
Parathelohania anophelis,Protozoa,Microspora,Microsporea (Microsporida),
Melissococcus pluton,Bacteria,Non-spore-forming bacteria,Streptococcaceae,
Alternaria tenuis,Fungi,Deuteromycetes,unknown,
Amblyospora indicola,Protozoa,Microspora,Microsporea (Microsporida),
Napamichum aequifilum,Protozoa,Microspora,Microsporea (Microsporida),
Hirsutella longicolla var. cornuta,Fungi,Deuteromycetes,unknown,
Coelomomyces irani,Fungi,Chytridiomycetes,Blastocladiales,
Microsporidium aedium,Protozoa,Microspora,Microsporea (Microsporida),
Entoderma colletosporium,Fungi,Deuteromycetes,unknown,
Myrmicinosporidium durum,Fungi,Unknown,unknown,
Merocinta davidii,Protozoa,Microspora,Microsporea (Microsporida),
Duboscqia dengihilli,Protozoa,Microspora,Microsporea (Microsporida),
Unikaryon minutum,Protozoa,Microspora,Microsporea (Microsporida),According to Weiser et al (EDWIP ref 1883) this species sb in Canningia now (Canningia minuta).
Spiroplasma citri,Mollicutes,Spiroplasma,Spiroplasmataceae,
Pleistophora schubergi,Protozoa,Microspora,Microsporea (Microsporida),"Update name to Endoreticulatus schubergi as renamed by Cali, A.; and El-Garhy, M.  1991 (EDWIP ref # 1881)?"
Amblyospora polykarya,Protozoa,Microspora,Microsporea (Microsporida),
Microsporidium goeldichironomi,Protozoa,Microspora,Microsporea (Microsporida),
Entomophthora sphaerosperma,Fungi,Zygomycetes,Entomophthorales,
Farinocystis tribolii,Protozoa,Apicomplexa,Gregarinidea (Neogregarinida),
Synnematium jonesii,Fungi,Deuteromycetes,unknown,
Entomophthora aulicae,Fungi,Zygomycetes,Entomophthorales,Which is current?  Entomophaga or Entomophthora
Entomophthora lampyridarum,Fungi,Zygomycetes,Entomophthorales,
Funicularis triseriatus,Fungi,Deuteromycetes,unknown,
Nosema transitella,Protozoa,Microspora,Microsporea (Microsporida),Spelling?  transitella or transitellae?
Amoebidium parasiticum,Fungi,Trichomycetes,Amoebidiales,
Entomophthora echinospora,Fungi,Zygomycetes,Entomophthorales,
Coelomomyces macleayae,Fungi,Chytridiomycetes,Blastocladiales,
Entomophthora bullata,Fungi,Zygomycetes,Entomophthorales,
Haemoproteus columbae,Protozoa,Apicomplexa,Haematozoea (Haemospororida),
Fusarium roseum,Fungi,Deuteromycetes,unknown,
Fusarium episphaeria,Fungi,Deuteromycetes,unknown,
Lymphotropha tribolii,Protozoa,Apicomplexa,Gregarinidea (Neogregarinida),
Adelina cryptocerci,Protozoa,Apicomplexa,Coccidea (Adeleida),
Nosema salivaria,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora coluzzii,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora kaduanae,Protozoa,Microspora,Microsporea (Microsporida),Spelling?  Should it be kaduanae or kadunae?
Amblyospora nigeriana,Protozoa,Microspora,Microsporea (Microsporida),Spelling?  Should it be nigeriana or nigeria?
Amblyospora trinus,Protozoa,Microspora,Microsporea (Microsporida),
Systenostrema alba,Protozoa,Microspora,Microsporea (Microsporida),
Systenostrema candida,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora oribatei,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora cephei,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora platynothri,Protozoa,Microspora,Microsporea (Microsporida),
Pleistophora dindali,Protozoa,Microspora,Microsporea (Microsporida),
Thelohania microtritiae,Protozoa,Microspora,Microsporea (Microsporida),
Nosema steganacari,Protozoa,Microspora,Microsporea (Microsporida),
Nosema acari,Protozoa,Microspora,Microsporea (Microsporida),
Nosema fuhreri,Protozoa,Microspora,Microsporea (Microsporida),
Amblyospora undulata,Protozoa,Microspora,Microsporea (Microsporida),
Nosema henosepilachnae,Protozoa,Microspora,Microsporea (Microsporida),
Tuzetia ecdyonuri,Protozoa,Microspora,Microsporea (Microsporida),
Tuzetia skuldae,Protozoa,Microspora,Microsporea (Microsporida),
Tuzetia verdandiae,Protozoa,Microspora,Microsporea (Microsporida),
Janacekia undinarum,Protozoa,Microspora,Microsporea (Microsporida),
Mucor hiemalis,Fungi,Zygomycetes,Mucorales,
Penicillium terrestre,Fungi,Deuteromycetes,unknown,
Penicillium notatum,Fungi,Deuteromycetes,unknown,
Trichoderma koningii,Fungi,Deuteromycetes,unknown,
Fusarium poae,Fungi,Deuteromycetes,unknown,
Cladosporium herbarum,Fungi,Deuteromycetes,unknown,
Acremoniella atra,Fungi,Deuteromycetes,unknown,
Helicosporidium parasiticum,Fungi,,,"Tanada & Kaya (p. 414) refers to genus as in ‘helicosporidia’ (gives no level designation for the taxon) and says ‘helicosporidia’ have been considered both protozoa and fungi.  Corliss (1994) p. 20, puts the genus in the fungi."
Lambornella stegomyiae,Protozoa,Ciliophora,Oligohymenophorea (Hymenostomatida),
Amblyospora abserrati,Protozoa,Microspora,Microsporea (Microsporida),
Diplocystis major,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Diplocystis minor,Protozoa,Apicomplexa,Gregarinidea (Eugregarinida),
Meristacrum milkoi,Fungi,Zygomycetes,Entomophthorales,
