RefCode,ERNntr,Host,Pathogen,Citation
131,98,Hyppa rectilinea,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,99,Spodoptera littoralis,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,100,Pseudoips fagana britannica,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,101,Autographa pulchrina,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,102,Yponomeuta padella,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,103,Udea olivalis,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
131,104,Antheraea pernyi,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710."
180,105,Agrotis segetum,Spodoptera exigua NPV  (SeMNPV),"Vlak, J.M., van Frankenhuyzen, K., Peters, D., and Groner, A., 1981. Identification of a new nuclear polyhdrosis virus from Spodoptera exigua. J. Invertebr. Pathol. 38:297-298"
182,106,Sabulodes transversata,Autographa californica NPV (AcMNPV),"Kaya, H. K. 1977. Transmission of a nuclear polyhedrosis virus isolated from Autographa californica to Alsophila pometaria, Hyphantria cunea, and other forest defoliators. J. Econ. Entomol. 70:9-12"
180,107,Xestia c-nigrum,Spodoptera exigua NPV  (SeMNPV),"Vlak, J.M., van Frankenhuyzen, K., Peters, D., and Groner, A., 1981. Identification of a new nuclear polyhdrosis virus from Spodoptera exigua. J. Invertebr. Pathol. 38:297-298"
180,108,Mamestra brassicae,Spodoptera exigua NPV  (SeMNPV),"Vlak, J.M., van Frankenhuyzen, K., Peters, D., and Groner, A., 1981. Identification of a new nuclear polyhdrosis virus from Spodoptera exigua. J. Invertebr. Pathol. 38:297-298"
180,109,Lacanobia oleracea,Spodoptera exigua NPV  (SeMNPV),"Vlak, J.M., van Frankenhuyzen, K., Peters, D., and Groner, A., 1981. Identification of a new nuclear polyhdrosis virus from Spodoptera exigua. J. Invertebr. Pathol. 38:297-298"
180,110,Spodoptera littoralis,Spodoptera exigua NPV  (SeMNPV),"Vlak, J.M., van Frankenhuyzen, K., Peters, D., and Groner, A., 1981. Identification of a new nuclear polyhdrosis virus from Spodoptera exigua. J. Invertebr. Pathol. 38:297-298"
180,111,Plutella xylostella,Spodoptera exigua NPV  (SeMNPV),"Vlak, J.M., van Frankenhuyzen, K., Peters, D., and Groner, A., 1981. Identification of a new nuclear polyhdrosis virus from Spodoptera exigua. J. Invertebr. Pathol. 38:297-298"
180,112,Galleria mellonella,Spodoptera exigua NPV  (SeMNPV),"Vlak, J.M., van Frankenhuyzen, K., Peters, D., and Groner, A., 1981. Identification of a new nuclear polyhdrosis virus from Spodoptera exigua. J. Invertebr. Pathol. 38:297-298"
180,113,Ostrinia nubilalis,Spodoptera exigua NPV  (SeMNPV),"Vlak, J.M., van Frankenhuyzen, K., Peters, D., and Groner, A., 1981. Identification of a new nuclear polyhdrosis virus from Spodoptera exigua. J. Invertebr. Pathol. 38:297-298"
180,114,Adoxophyes orana,Spodoptera exigua NPV  (SeMNPV),"Vlak, J.M., van Frankenhuyzen, K., Peters, D., and Groner, A., 1981. Identification of a new nuclear polyhdrosis virus from Spodoptera exigua. J. Invertebr. Pathol. 38:297-298"
180,115,Cydia pomonella,Spodoptera exigua NPV  (SeMNPV),"Vlak, J.M., van Frankenhuyzen, K., Peters, D., and Groner, A., 1981. Identification of a new nuclear polyhdrosis virus from Spodoptera exigua. J. Invertebr. Pathol. 38:297-298"
181,116,Diachrysia balluca,Pseudoplusia includens NPV  (PiSNPV),"Harper, J.D. 1976. Cross-infectivity of six plusiine nuclear polyhderosis virus isolates to plusiine hosts, J. Invertebr. Pathol. 27:275-"
181,117,Rachiplusia ou,Pseudoplusia includens NPV  (PiSNPV),"Harper, J.D. 1976. Cross-infectivity of six plusiine nuclear polyhderosis virus isolates to plusiine hosts, J. Invertebr. Pathol. 27:275-"
181,118,Autographa biloba,Syngrapha selecta NPV  (SsSNPV),"Harper, J.D. 1976. Cross-infectivity of six plusiine nuclear polyhderosis virus isolates to plusiine hosts, J. Invertebr. Pathol. 27:275-"
181,119,Pseudoplusia includens,Syngrapha selecta NPV  (SsSNPV),"Harper, J.D. 1976. Cross-infectivity of six plusiine nuclear polyhderosis virus isolates to plusiine hosts, J. Invertebr. Pathol. 27:275-"
181,120,Rachiplusia ou,Syngrapha selecta NPV  (SsSNPV),"Harper, J.D. 1976. Cross-infectivity of six plusiine nuclear polyhderosis virus isolates to plusiine hosts, J. Invertebr. Pathol. 27:275-"
181,121,Autographa biloba,Trichoplusia ni NPV  (TnSNPV),"Harper, J.D. 1976. Cross-infectivity of six plusiine nuclear polyhderosis virus isolates to plusiine hosts, J. Invertebr. Pathol. 27:275-"
181,122,Autographa bimaculata,Trichoplusia ni NPV  (TnSNPV),"Harper, J.D. 1976. Cross-infectivity of six plusiine nuclear polyhderosis virus isolates to plusiine hosts, J. Invertebr. Pathol. 27:275-"
181,123,Pseudoplusia includens,Trichoplusia ni NPV  (TnSNPV),"Harper, J.D. 1976. Cross-infectivity of six plusiine nuclear polyhderosis virus isolates to plusiine hosts, J. Invertebr. Pathol. 27:275-"
181,124,Rachiplusia ou,Trichoplusia ni NPV  (TnSNPV),"Harper, J.D. 1976. Cross-infectivity of six plusiine nuclear polyhderosis virus isolates to plusiine hosts, J. Invertebr. Pathol. 27:275-"
182,125,Symmerista canicosta,Autographa californica NPV (AcMNPV),"Kaya, H. K. 1977. Transmission of a nuclear polyhedrosis virus isolated from Autographa californica to Alsophila pometaria, Hyphantria cunea, and other forest defoliators. J. Econ. Entomol. 70:9-12"
182,126,Croesia albicomma,Autographa californica NPV (AcMNPV),"Kaya, H. K. 1977. Transmission of a nuclear polyhedrosis virus isolated from Autographa californica to Alsophila pometaria, Hyphantria cunea, and other forest defoliators. J. Econ. Entomol. 70:9-12"
183,127,Choristoneura fumiferana,Thymelicus lineola NPV,"Smirnoff, W.A., McNeil, J.N., and Lamothe, P. 1979. Safety tests for the baculovirus of Thymelicus lineola (Lepidoptera:Hesperiidae). Can. Entomol. 111:459-464."
183,128,Choristoneura conflictana,Thymelicus lineola NPV,"Smirnoff, W.A., McNeil, J.N., and Lamothe, P. 1979. Safety tests for the baculovirus of Thymelicus lineola (Lepidoptera:Hesperiidae). Can. Entomol. 111:459-464."
183,129,Archips cerasivorana,Thymelicus lineola NPV,"Smirnoff, W.A., McNeil, J.N., and Lamothe, P. 1979. Safety tests for the baculovirus of Thymelicus lineola (Lepidoptera:Hesperiidae). Can. Entomol. 111:459-464."
183,130,Malacosoma disstria,Thymelicus lineola NPV,"Smirnoff, W.A., McNeil, J.N., and Lamothe, P. 1979. Safety tests for the baculovirus of Thymelicus lineola (Lepidoptera:Hesperiidae). Can. Entomol. 111:459-464."
183,131,Orgyia leucostigma,Thymelicus lineola NPV,"Smirnoff, W.A., McNeil, J.N., and Lamothe, P. 1979. Safety tests for the baculovirus of Thymelicus lineola (Lepidoptera:Hesperiidae). Can. Entomol. 111:459-464."
183,132,Actebia fennica,Thymelicus lineola NPV,"Smirnoff, W.A., McNeil, J.N., and Lamothe, P. 1979. Safety tests for the baculovirus of Thymelicus lineola (Lepidoptera:Hesperiidae). Can. Entomol. 111:459-464."
183,133,Pachysphynx  modesta,Thymelicus lineola NPV,"Smirnoff, W.A., McNeil, J.N., and Lamothe, P. 1979. Safety tests for the baculovirus of Thymelicus lineola (Lepidoptera:Hesperiidae). Can. Entomol. 111:459-464."
183,134,Anisota senatoria,Thymelicus lineola NPV,"Smirnoff, W.A., McNeil, J.N., and Lamothe, P. 1979. Safety tests for the baculovirus of Thymelicus lineola (Lepidoptera:Hesperiidae). Can. Entomol. 111:459-464."
183,135,Neodiprion pratti banksianae,Thymelicus lineola NPV,"Smirnoff, W.A., McNeil, J.N., and Lamothe, P. 1979. Safety tests for the baculovirus of Thymelicus lineola (Lepidoptera:Hesperiidae). Can. Entomol. 111:459-464."
183,136,Neodiprion nanulus nanulus,Thymelicus lineola NPV,"Smirnoff, W.A., McNeil, J.N., and Lamothe, P. 1979. Safety tests for the baculovirus of Thymelicus lineola (Lepidoptera:Hesperiidae). Can. Entomol. 111:459-464."
183,137,Neodiprion swainei,Thymelicus lineola NPV,"Smirnoff, W.A., McNeil, J.N., and Lamothe, P. 1979. Safety tests for the baculovirus of Thymelicus lineola (Lepidoptera:Hesperiidae). Can. Entomol. 111:459-464."
183,138,Pristiphora erichsonii,Thymelicus lineola NPV,"Smirnoff, W.A., McNeil, J.N., and Lamothe, P. 1979. Safety tests for the baculovirus of Thymelicus lineola (Lepidoptera:Hesperiidae). Can. Entomol. 111:459-464."
183,139,Pristiphora geniculata,Thymelicus lineola NPV,"Smirnoff, W.A., McNeil, J.N., and Lamothe, P. 1979. Safety tests for the baculovirus of Thymelicus lineola (Lepidoptera:Hesperiidae). Can. Entomol. 111:459-464."
183,140,Trichiocampus irregularis,Thymelicus lineola NPV,"Smirnoff, W.A., McNeil, J.N., and Lamothe, P. 1979. Safety tests for the baculovirus of Thymelicus lineola (Lepidoptera:Hesperiidae). Can. Entomol. 111:459-464."
183,141,Chrysomela walshi,Thymelicus lineola NPV,"Smirnoff, W.A., McNeil, J.N., and Lamothe, P. 1979. Safety tests for the baculovirus of Thymelicus lineola (Lepidoptera:Hesperiidae). Can. Entomol. 111:459-464."
183,142,Anophothrips obscurus,Thymelicus lineola NPV,"Smirnoff, W.A., McNeil, J.N., and Lamothe, P. 1979. Safety tests for the baculovirus of Thymelicus lineola (Lepidoptera:Hesperiidae). Can. Entomol. 111:459-464."
184,143,Adoxophyes orana,Carposina niponensis GV,"Sato, T., Oho, N., and Narita, N. 1977. A granulosis virus of the peach fruit moth, Carposina niponensis Walshingham (Lepidoptera: Carposinidae). Appl. Entomol. Zool. 12:365-"
184,144,Archips breviplicana,Carposina niponensis GV,"Sato, T., Oho, N., and Narita, N. 1977. A granulosis virus of the peach fruit moth, Carposina niponensis Walshingham (Lepidoptera: Carposinidae). Appl. Entomol. Zool. 12:365-"
184,145,Homona magnanima,Carposina niponensis GV,"Sato, T., Oho, N., and Narita, N. 1977. A granulosis virus of the peach fruit moth, Carposina niponensis Walshingham (Lepidoptera: Carposinidae). Appl. Entomol. Zool. 12:365-"
195,146,Orthosia gothica,Mamestra brassicae NPV (MbMNPV),"Groner, A. 1986. Specificity and safety of baculoviruses. pp. 177-202 in: Granados, R.R. and Federici, B.A. [eds.], The biology of baculoviruses, Vol 1: Biological properties and molecular biology. CRC Press, Boca Raton. "
195,147,Spodoptera littoralis,Mamestra brassicae NPV (MbMNPV),"Groner, A. 1986. Specificity and safety of baculoviruses. pp. 177-202 in: Granados, R.R. and Federici, B.A. [eds.], The biology of baculoviruses, Vol 1: Biological properties and molecular biology. CRC Press, Boca Raton. "
195,148,Arctia caja,Mamestra brassicae NPV (MbMNPV),"Groner, A. 1986. Specificity and safety of baculoviruses. pp. 177-202 in: Granados, R.R. and Federici, B.A. [eds.], The biology of baculoviruses, Vol 1: Biological properties and molecular biology. CRC Press, Boca Raton. "
195,149,Spilosoma maculosa,Mamestra brassicae NPV (MbMNPV),"Groner, A. 1986. Specificity and safety of baculoviruses. pp. 177-202 in: Granados, R.R. and Federici, B.A. [eds.], The biology of baculoviruses, Vol 1: Biological properties and molecular biology. CRC Press, Boca Raton. "
195,150,Plutella xylostella,Mamestra brassicae NPV (MbMNPV),"Groner, A. 1986. Specificity and safety of baculoviruses. pp. 177-202 in: Granados, R.R. and Federici, B.A. [eds.], The biology of baculoviruses, Vol 1: Biological properties and molecular biology. CRC Press, Boca Raton. "
195,151,Galleria mellonella,Mamestra brassicae NPV (MbMNPV),"Groner, A. 1986. Specificity and safety of baculoviruses. pp. 177-202 in: Granados, R.R. and Federici, B.A. [eds.], The biology of baculoviruses, Vol 1: Biological properties and molecular biology. CRC Press, Boca Raton. "
195,152,Evergestis forficalis,Mamestra brassicae NPV (MbMNPV),"Groner, A. 1986. Specificity and safety of baculoviruses. pp. 177-202 in: Granados, R.R. and Federici, B.A. [eds.], The biology of baculoviruses, Vol 1: Biological properties and molecular biology. CRC Press, Boca Raton. "
195,153,Antheraea pernyi,Mamestra brassicae NPV (MbMNPV),"Groner, A. 1986. Specificity and safety of baculoviruses. pp. 177-202 in: Granados, R.R. and Federici, B.A. [eds.], The biology of baculoviruses, Vol 1: Biological properties and molecular biology. CRC Press, Boca Raton. "
195,154,Adoxophyes orana,Mamestra brassicae NPV (MbMNPV),"Groner, A. 1986. Specificity and safety of baculoviruses. pp. 177-202 in: Granados, R.R. and Federici, B.A. [eds.], The biology of baculoviruses, Vol 1: Biological properties and molecular biology. CRC Press, Boca Raton. "
195,155,Cydia pomonella,Mamestra brassicae NPV (MbMNPV),"Groner, A. 1986. Specificity and safety of baculoviruses. pp. 177-202 in: Granados, R.R. and Federici, B.A. [eds.], The biology of baculoviruses, Vol 1: Biological properties and molecular biology. CRC Press, Boca Raton. "
195,156,Lacanobia oleracea,Mamestra brassicae NPV (MbMNPV),"Groner, A. 1986. Specificity and safety of baculoviruses. pp. 177-202 in: Granados, R.R. and Federici, B.A. [eds.], The biology of baculoviruses, Vol 1: Biological properties and molecular biology. CRC Press, Boca Raton. "
196,157,Spodoptera littoralis,Heliothis armigera NPV  (HaMNPV),"McKinley, D.L., Brown, D.A., Payne, C.C., and Harrap, K.A. 1981. Cross-infectivity and activation studies with four baculoviruses. Entomophaga 26:79-90."
198,158,Lymantria dispar,Dasychira basiflava NPV,"Kaya, H. K. and Anderson, J. F. 1976. A nuclear polyhedrosis virus of the dark tussock moth, Dasychira basiflava. J. Invertebr. Pathol. 27:411-412."
204,159,Cadra cautella,Plodia interpunctella GV,"Hunter, D.K. and Hoffman, D.F. 1972. Cross infection of a granulosis virus of Cadra cautella with observations on its ultrastructure in infected cells of Plodia interpunctella. J. Invertebr. Pathol. 20:4-"
209,160,Helicoverpa zea,Cydia pomonella GV,"Falcon, L.A., Kane, W.R., and Bethell, R.S. 1968. Preliminary evaluation of a granulosis virus for the control of codling moth.  J. Econ. Entomol. 61:1208-1213."
209,161,Amyelois transitella,Cydia pomonella GV,"Falcon, L.A., Kane, W.R., and Bethell, R.S. 1968. Preliminary evaluation of a granulosis virus for the control of codling moth.  J. Econ. Entomol. 61:1208-1213."
217,162,Lemyra imparilis,Bombyx mori NPV,"Aratake, Y. and Kayamura, T. 1973. Pathogenicity of a nuclear-polyhedrosis virus of the silkworm, Bombyx mori, for a number of lepidopterous insects. Jpn. J. Appl. Entomol. Zool. 17:121-"
217,163,Euproctis similis,Bombyx mori NPV,"Aratake, Y. and Kayamura, T. 1973. Pathogenicity of a nuclear-polyhedrosis virus of the silkworm, Bombyx mori, for a number of lepidopterous insects. Jpn. J. Appl. Entomol. Zool. 17:121-"
217,164,Euproctis similis,Bombyx mori NPV,"Aratake, Y. and Kayamura, T. 1973. Pathogenicity of a nuclear-polyhedrosis virus of the silkworm, Bombyx mori, for a number of lepidopterous insects. Jpn. J. Appl. Entomol. Zool. 17:121-"
217,165,Papilio helenus,Bombyx mori NPV,"Aratake, Y. and Kayamura, T. 1973. Pathogenicity of a nuclear-polyhedrosis virus of the silkworm, Bombyx mori, for a number of lepidopterous insects. Jpn. J. Appl. Entomol. Zool. 17:121-"
217,166,Artogeia rapae,Bombyx mori NPV,"Aratake, Y. and Kayamura, T. 1973. Pathogenicity of a nuclear-polyhedrosis virus of the silkworm, Bombyx mori, for a number of lepidopterous insects. Jpn. J. Appl. Entomol. Zool. 17:121-"
217,167,Diaphania pyloalis,Bombyx mori NPV,"Aratake, Y. and Kayamura, T. 1973. Pathogenicity of a nuclear-polyhedrosis virus of the silkworm, Bombyx mori, for a number of lepidopterous insects. Jpn. J. Appl. Entomol. Zool. 17:121-"
217,168,Theretra oldenlandiae,Bombyx mori NPV,"Aratake, Y. and Kayamura, T. 1973. Pathogenicity of a nuclear-polyhedrosis virus of the silkworm, Bombyx mori, for a number of lepidopterous insects. Jpn. J. Appl. Entomol. Zool. 17:121-"
218,169,Thymelicus flavus,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,170,Lycaena phlaeas,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,171,Polyommatus icarus,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,172,Aglais urticae,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,173,Argynnis paphia,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,174,Clossiana selene,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,175,Vanessa cardui,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,176,Inachis io,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,177,Polygonia c-album,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,178,Vanessa atalanta,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,179,Pieris brassicae,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,180,Artogeia napi,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,181,Artogeia rapae,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,182,Maniola jurtina,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,183,Melanargia galathea,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,184,Pararge aegeria,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,185,Pyronia tithonus,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,186,Cydia pomonella,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,187,Epermenia chaerophyllella,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,188,Yponomeuta cagnatella,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,189,Nematus ribesii,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,190,Neodiprion sertifer,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,191,Gilpinia hercyniae,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,192,Arctia caja,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,193,Spilosoma lutea,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,194,Tyria jacobaeae,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,195,Cilix glaucata,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
218,196,Biston betularia,Autographa californica NPV (AcMNPV),"Bishop, D.H.L., Entwistle, P.F., Cameron, I.R., Allen, C.J., and Posee, R.D. 1988. Field trials of genetically-engineered baculovirus insecticides. in Sussman, M. Collins, C.H., Skinner, F.A., and Stewart-Tull, D.E. [eds.] The release of genetically-engineered micro-organisms. Acdemic Press, London."
